1	27.59
2	27.58
3	27.58
4	27.58
5	27.58
6	27.559999
7	27.57
8	27.559999
9	27.559999
10	27.549999
1	27.59
2	27.58
3	27.58
4	27.58
5	27.58
6	27.559999
7	27.57
8	27.559999
9	27.559999
10	27.549999
11	27.559999
12	27.549999
13	27.549999
14	27.549999
15	27.540001
16	27.540001
17	27.540001
18	27.540001
19	27.540001
20	27.530001
1	27.59
2	27.58
3	27.58
4	27.58
5	27.58
6	27.559999
7	27.57
8	27.559999
9	27.559999
10	27.549999
11	27.559999
12	27.549999
13	27.549999
14	27.549999
15	27.540001
16	27.540001
17	27.540001
18	27.540001
19	27.540001
20	27.530001
21	27.530001
22	27.530001
23	27.52
